n_real,generador,ratio,delta_medio,delta_sd,n_seeds,ee,t,veredicto
500,block_bootstrap,5.0,-0.13050631682078043,0.06565253484222876,3,0.03790450866414206,-3.4430288485506835,empeora
500,block_bootstrap,10.0,-0.10291747252146403,0.049329390694615505,3,0.028480336996496484,-3.6136325400266314,empeora
500,block_bootstrap,20.0,-0.1193760832150777,0.07769977476628762,3,0.04485998587728945,-2.661081604921154,empeora
500,block_bootstrap,30.0,-0.09665916363398235,0.034450082452491385,3,0.019889764377550703,-4.85974402708763,empeora
500,gaussiana,1.0,-0.10303451617558801,0.08075740392597655,3,0.04662530889571791,-2.209840934373965,no concluyente
500,gaussiana,3.0,-0.10970948139826457,0.07404736691645639,3,0.04275126722199909,-2.566227588730046,empeora
500,gaussiana,5.0,-0.1253099242846171,0.0843094971411991,3,0.04867611086971329,-2.574361879896737,empeora
500,gaussiana,10.0,-0.17763113975524902,0.07599440911205795,3,0.043875392557753204,-4.0485367628661795,empeora
500,gaussiana,20.0,-0.2715882460276286,0.017181072470942745,3,0.009919496816065264,-27.37923617131203,empeora
500,gaussiana,30.0,-0.36025776465733844,0.13930854300615947,3,0.08042982480502073,-4.4791564016293846,empeora
500,jitter,1.0,0.005195736885070801,0.02240531879927716,3,0.012935716840042051,0.4016582110847991,no concluyente
500,jitter,3.0,0.03405336538950602,0.041711387087138965,3,0.024082080563032363,1.4140541262776216,no concluyente
500,jitter,5.0,0.03607902924219771,0.029741134070405774,3,0.017171051761553525,2.1011542998769412,no concluyente
500,jitter,10.0,0.02933824062347412,0.02364866731737457,3,0.013653564441662113,2.148760548853618,no concluyente
500,jitter,20.0,0.045864641666412374,0.003062015631817506,3,0.001767855549292679,25.94365907597081,mejora
500,jitter,30.0,0.054233988126118994,0.01899711578626977,3,0.010967989913029342,4.944751823822534,mejora
500,realnvp,1.0,-0.055894335110982296,0.07034689601134794,3,0.040614799348806345,-1.376206112233939,no concluyente
500,realnvp,3.0,-0.02175972859064736,0.1308798233913281,3,0.07556350126647396,-0.2879661241994582,no concluyente
500,realnvp,5.0,-0.03488687674204508,0.18578967618837286,3,0.10726571956001048,-0.32523789413007576,no concluyente
500,realnvp,10.0,-0.06885464986165367,0.17756678630148354,3,0.10251823187029828,-0.6716332168971237,no concluyente
500,realnvp,20.0,-0.07261190811793006,0.19794296589114124,3,0.11428242464144331,-0.6353724848396165,no concluyente
