n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
1000,block_bootstrap,0.75,0,750,1750,0.4684774279594421,0.1707341372966766,0.3085891008377075,0.2675908207893371,99,5.3,f16761a9
1000,block_bootstrap,0.75,1,750,1750,0.484103113412857,0.1755714863538742,0.3135557472705841,0.2468397617340088,98,5.2,f16761a9
1000,block_bootstrap,0.75,2,750,1750,0.4549349546432495,0.1684908419847488,0.3086320757865906,0.2772140502929687,25,5.2,f16761a9
1000,vae,0.75,0,750,1750,0.4751178026199341,0.1686871796846389,0.3009268939495086,0.2763717770576477,80,5.4,f16761a9
1000,vae,0.75,1,750,1750,0.5021806955337524,0.1850016713142395,0.3212049007415771,0.2063864469528198,58,5.4,f16761a9
1000,vae,0.75,2,750,1750,0.4253629148006439,0.1616993397474289,0.3003012537956238,0.3063479661941528,53,5.4,f16761a9
1000,realnvp,0.75,0,750,1750,0.4388257563114166,0.1564532071352005,0.2931469678878784,0.3288526535034179,99,5.7,f16761a9
1000,realnvp,0.75,1,750,1750,0.4490036964416504,0.1725016981363296,0.3138161301612854,0.2600083947181701,88,5.7,f16761a9
1000,realnvp,0.75,2,750,1750,0.4328896403312683,0.1568402051925659,0.3015813827514648,0.327192485332489,80,5.8,f16761a9
1000,jitter,1.0,0,1000,2000,0.4293161034584045,0.1536869257688522,0.2878010869026184,0.3407193422317505,83,5.6,f16761a9
1000,jitter,1.0,1,1000,2000,0.451467752456665,0.1721503585577011,0.3099288046360016,0.2615155577659607,99,5.6,f16761a9
1000,jitter,1.0,2,1000,2000,0.4094173312187195,0.1519349217414856,0.2938462793827057,0.348235011100769,92,5.6,f16761a9
1000,gaussiana,1.0,0,1000,2000,0.4730096161365509,0.169463649392128,0.3013495504856109,0.2730408906936645,77,5.6,f16761a9
1000,gaussiana,1.0,1,1000,2000,0.5929830074310303,0.2051007747650146,0.337941974401474,0.1201660633087158,85,5.6,f16761a9
1000,gaussiana,1.0,2,1000,2000,0.4208612143993377,0.1612675189971923,0.3019404709339142,0.3082003593444824,57,5.6,f16761a9
1000,block_bootstrap,1.0,0,1000,2000,0.4717720448970794,0.1720549464225769,0.3080293834209442,0.2619248628616333,80,5.6,f16761a9
1000,block_bootstrap,1.0,1,1000,2000,0.4890970587730407,0.1755714565515518,0.3138293027877807,0.2468398809432983,90,5.6,f16761a9
1000,block_bootstrap,1.0,2,1000,2000,0.4602779746055603,0.16951584815979,0.3094607293605804,0.2728170156478882,24,5.6,f16761a9
1000,vae,1.0,0,1000,2000,0.4603142440319061,0.1659136861562729,0.2978749275207519,0.2882694005966186,92,5.8,f16761a9
1000,vae,1.0,1,1000,2000,0.5059787631034851,0.1855653673410415,0.3217796981334686,0.203968346118927,55,5.8,f16761a9
1000,vae,1.0,2,1000,2000,0.4274954497814178,0.163583442568779,0.3008999526500702,0.2982656359672546,51,5.8,f16761a9
1000,realnvp,1.0,0,1000,2000,0.4337269961833954,0.153740257024765,0.2917396128177643,0.3404905796051025,85,6.1,f16761a9
1000,realnvp,1.0,1,1000,2000,0.453328788280487,0.1728337705135345,0.3146053254604339,0.2585839033126831,95,6.2,f16761a9
1000,realnvp,1.0,2,1000,2000,0.4441439807415008,0.1603091061115265,0.304906278848648,0.3123117685317993,72,6.2,f16761a9
1000,jitter,3.0,0,3000,4000,0.4119114279747009,0.1501324325799942,0.2858900427818298,0.3559672832489013,46,8.7,f16761a9
1000,jitter,3.0,1,3000,4000,0.4222066402435303,0.154410719871521,0.2932592928409576,0.3376144170761108,80,8.7,f16761a9
