n_real,generador,n_synth,delta_medio,delta_sd,n_seeds,ee,t,veredicto
1000,vae,20000,0.05482878287633258,0.12182556285210687,3,0.07033602150684158,0.7795263607709086,no concluyente
3000,block_bootstrap,500,0.008499125639597574,0.014914664818759726,3,0.00861098574798397,0.9870096047467521,no concluyente
3000,block_bootstrap,1000,0.013870000839233398,0.023961847569929758,3,0.013834379144779725,1.002574867587543,no concluyente
3000,block_bootstrap,3000,0.017309765021006267,0.023259504775118976,3,0.013428881343132328,1.2889953063632262,no concluyente
3000,block_bootstrap,7000,0.020147542158762615,0.015340029898427985,3,0.008856570391234305,2.274869534001946,no concluyente
3000,block_bootstrap,20000,0.009370525677998879,0.008891280114309886,3,0.0051333829674371795,1.8254094302800625,no concluyente
3000,diffusion_ts,500,0.0022510687510172525,0.019851823156706624,3,0.011461455443429417,0.19640339415250593,no concluyente
3000,diffusion_ts,1000,0.01307151714960734,0.01612802353250137,3,0.009311518727986285,1.403800768860634,no concluyente
3000,diffusion_ts,3000,0.04444964726765952,0.020071720462026245,3,0.011588413211849773,3.8356974725588295,mejora
3000,diffusion_ts,7000,0.05772177378336588,0.017686393881602164,3,0.01021124426853676,5.6527659377633555,mejora
3000,diffusion_ts,20000,0.06146363417307534,0.009947788186425026,3,0.005743358187273868,10.701689180602814,mejora
3000,gaussiana,500,-0.02557164430618288,0.027519571264752095,3,0.015888431877687712,-1.6094504796343936,no concluyente
3000,gaussiana,1000,-0.04574914773305255,0.04050401925900446,3,0.02338500642244801,-1.9563453140272176,no concluyente
3000,gaussiana,3000,-0.10120201110839844,0.08710718129726232,3,0.05029135457032394,-2.012314282902931,no concluyente
3000,gaussiana,7000,-0.13735977808634442,0.07692526427856455,3,0.04441282203871235,-3.0927955437421883,empeora
3000,gaussiana,20000,-0.199959675470988,0.03310950872334646,3,0.019115783774160344,-10.460448696918323,empeora
3000,jitter,500,0.014747858047485352,0.007560839951620071,3,0.0043652529813675255,3.378465832435034,mejora
3000,jitter,1000,0.02130730946858724,0.007221570741051966,3,0.0041693758113182785,5.110431496903193,mejora
3000,jitter,3000,0.03229337930679319,0.010446060450409408,3,0.006031035813014975,5.3545328378093995,mejora
3000,jitter,7000,0.05028188228607178,0.03482662496261348,3,0.020107161297131037,2.500695227090369,mejora
3000,jitter,20000,0.050526281197865806,0.037546805540290835,3,0.021677658285897447,2.3307997815767783,no concluyente
3000,realnvp,500,0.014954706033070883,0.007291493638699339,3,0.004209745815097508,3.552401187605788,mejora
3000,realnvp,1000,0.021741251150767027,0.01758264521000582,3,0.010151344945062543,2.1417113957241334,no concluyente
3000,realnvp,3000,0.05148118734359741,0.018164782770144845,3,0.010487442222114203,4.908841093307032,mejora
3000,realnvp,7000,0.06586261590321861,0.02682218889386051,3,0.015485797978125358,4.253097967328103,mejora
