n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
10000,diffusion_ts,0.7,0.4266827702522278,0.00727365716144017,0.13364772995313004,17000,3
10000,diffusion_ts,2.0,0.4327663779258728,0.015083855849243866,0.13222956160704294,30000,3
10000,gaussiana,0.05,0.4174778461456299,0.008054905511862729,0.13579351703325904,10500,3
10000,gaussiana,0.1,0.3960123260815938,0.0148641569651371,0.1407974064350128,11000,3
10000,gaussiana,0.3,0.3598702351252238,0.013226860679494742,0.14922260244687396,13000,3
10000,gaussiana,0.7,0.3229077259699504,0.00747449347488847,0.1578390449285507,17000,3
10000,gaussiana,2.0,0.25683567921320594,0.009786219880511352,0.17324130237102506,30000,3
10000,jitter,0.05,0.4282072186470032,0.0037490794082594005,0.13329235712687174,10500,3
10000,jitter,0.1,0.4295165141423543,0.003503135882751046,0.13298714657624558,11000,3
10000,jitter,0.3,0.4298741618792216,0.00601315943192797,0.132903774579366,13000,3
10000,jitter,0.7,0.4309948881467183,0.012790719684488982,0.13264251748720798,17000,3
10000,jitter,2.0,0.42433098951975506,0.00947008576696731,0.13419595857461294,30000,3
10000,ninguno,0.0,0.4271996815999349,0.0031321243279851213,0.13352722922960913,10000,3
10000,realnvp,0.05,0.42675407727559406,0.008378167274646315,0.13363110522429142,10500,3
10000,realnvp,0.1,0.43192553520202637,0.0064186880532360975,0.1324255714813868,11000,3
10000,realnvp,0.3,0.4422950545946757,0.0062953561206466335,0.13000830014546708,13000,3
10000,realnvp,0.7,0.4476824005444844,0.007688593862152106,0.1287524402141571,17000,3
10000,realnvp,2.0,0.4619271755218506,0.009418775870982799,0.12543179591496784,30000,3
10000,vae,0.05,0.4204074740409851,0.007269232225218135,0.1351105819145838,10500,3
10000,vae,0.1,0.42081207036972046,0.014263930081044734,0.13501626749833423,11000,3
10000,vae,0.3,0.41177159547805786,0.0028302346212914736,0.13712371389071143,13000,3
10000,vae,0.7,0.4057903488477071,0.02250047872233048,0.1385180205106735,17000,3
10000,vae,2.0,0.39424816767374676,0.016091113482863757,0.14120865861574808,30000,3
20000,block_bootstrap,0.025,0.42712875207265216,0.023992828034514968,0.13354376455148056,20500,3
20000,block_bootstrap,0.05,0.43122897545496625,0.019990503294051085,0.13258794943491614,21000,3
20000,block_bootstrap,0.15,0.42570753892262775,0.026410716865531977,0.13387506703535715,23000,3
20000,block_bootstrap,0.35,0.4252219994862874,0.01959564198793717,0.13398825128873185,27000,3
20000,block_bootstrap,1.0,0.400728702545166,0.018318524355503168,0.13969795902570084,40000,3
20000,diffusion_ts,0.025,0.4286629756291707,0.027627846923680182,0.13318611681461331,20500,3
20000,diffusion_ts,0.05,0.43312186002731323,0.01534611471899406,0.13214669128259018,21000,3
20000,diffusion_ts,0.15,0.4300679961840312,0.030089074522638756,0.1328585843245188,23000,3
20000,diffusion_ts,0.35,0.43871726592381793,0.021300438160050717,0.1308423280715942,27000,3
20000,diffusion_ts,1.0,0.44074614842732746,0.02169622518115997,0.13036936521530149,40000,3
20000,gaussiana,0.025,0.42852723598480225,0.019742225482121834,0.13321775694688157,20500,3
20000,gaussiana,0.05,0.4197535713513692,0.023703329387145804,0.13526301582654313,21000,3
20000,gaussiana,0.15,0.3855905334154765,0.020419286080618437,0.14322686692078904,23000,3
20000,gaussiana,0.35,0.3611087203025818,0.005482153114182738,0.14893389244874317,27000,3
20000,gaussiana,1.0,0.3286581834157308,0.03265468184790994,0.1564985414346059,40000,3
20000,jitter,0.025,0.4226742386817932,0.027974458688281873,0.134582166870435,20500,3
20000,jitter,0.05,0.42927537361780804,0.010846222264067824,0.13304335872332254,21000,3
20000,jitter,0.15,0.42652841409047443,0.019138359623902177,0.13368370632330573,23000,3
20000,jitter,0.35,0.43097684780756634,0.01405441967772015,0.13264671961466465,27000,3
20000,jitter,1.0,0.4338054458300273,0.01262870425588368,0.13198733826478318,40000,3
20000,ninguno,0.0,0.43234453598658246,0.025997021586790316,0.1323278943697611,20000,3
20000,realnvp,0.025,0.4296194116274516,0.020313498033322275,0.13296316067377723,20500,3
20000,realnvp,0.05,0.4311319788297017,0.026372485604100337,0.13261056443055466,21000,3
20000,realnvp,0.15,0.4257180293401082,0.0242923824618563,0.13387262324492133,23000,3
20000,realnvp,0.35,0.4412073493003845,0.018457347771195107,0.1302618583043416,27000,3
20000,realnvp,1.0,0.4352404276529948,0.015269372715646844,0.13165282706419623,40000,3
20000,vae,0.025,0.4286845525105794,0.018391865820913053,0.13318108518918353,20500,3
20000,vae,0.05,0.4231727321942647,0.023463327505671046,0.13446596761544544,21000,3
20000,vae,0.15,0.4231407443682353,0.02327695248510838,0.13447341819604236,23000,3
20000,vae,0.35,0.4102257092793782,0.027188975882612414,0.13748408357302344,27000,3
20000,vae,1.0,0.39923763275146484,0.01683472235231619,0.1400455484787623,40000,3
